,deleted_responses,condition,article,consent,consent2,have_facebook_q,believe_climate_change_q,believer_doubter,post_trustworthy,post_accurate,like_post,share_post,recognize_source,burning_oil_co2,nuclear_power_co2,co2_methane,global_co2_increase,climate_change_human_activities,last_century_global_increase,today_concentration_already_occured,scientists_expect_warming_increase_melting,scientists_expect_increase_extreme_events,scientists_expect_increase_water_evap,scientists_expect_climate_change_evenly,feelings_toward_fb,gender,gender_text,age,education,politics,politics_text,conservative,post_type,post_trust
724,,Control,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,2.9,4.7,-4.9,2.0,Yes,Incorrect,Correct,Do not know,Correct,Correct,Do not know,Do not know,Correct,Correct,Correct,Incorrect,1.2,Female,,38.0,Graduate or professional degree,Democrat,,Very liberal,Fake,3.8
725,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,3.9,3.0,-3.3,2.8,Yes,Correct,Correct,Do not know,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.0,Male,,66.0,High school graduate (high school diploma or equivalent including GED),Republican,,Somewhat conservative,Fake,3.45
726,,Control,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,6.0,6.0,0.3,3.0,Yes,Do not know,Do not know,Do not know,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Do not know,0.7,Male,,29.0,Associate degree in college (2-year),Other,libertarian,Somewhat liberal,Fake,6.0
727,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.0,6.4,0.2,3.8,Yes,Do not know,Correct,Do not know,Correct,Correct,Do not know,Do not know,Correct,Correct,Do not know,Do not know,3.1,Female,,43.0,High school graduate (high school diploma or equivalent including GED),Democrat,,Somewhat conservative,Fake,7.2
729,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,5.8,5.8,0.0,6.0,Yes,Correct,Do not know,Do not know,Do not know,Correct,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,0.0,Male,,41.0,High school graduate (high school diploma or equivalent including GED),No party/not interested in politics,,Not sure/not interested in politics,Fake,5.8
730,,Control,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,5.2,4.0,-0.9,6.2,Yes,Correct,Incorrect,Do not know,Correct,Do not know,Do not know,Do not know,Do not know,Correct,Incorrect,Correct,0.3,Male,,65.0,Some college but no degree,Republican,,Very conservative,Fake,4.6
731,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,3.1,2.9,-1.5,6.3,Yes,Do not know,Correct,Do not know,Correct,Correct,Do not know,Do not know,Correct,Do not know,Do not know,Do not know,2.0,Female,,26.0,Some college but no degree,Democrat,,Moderate,Fake,3.0
732,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,4.0,3.9,-1.0,6.9,Yes,Do not know,Do not know,Do not know,Do not know,Correct,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,2.1,Male,,44.0,Some college but no degree,No party/not interested in politics,,Not sure/not interested in politics,Fake,3.95
734,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.3,6.7,2.8,10.5,Yes,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Correct,-2.2,Male,,46.0,Associate degree in college (2-year),Democrat,,Very liberal,Fake,7.5
735,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,10.0,10.0,5.0,11.0,Yes,Correct,Correct,Incorrect,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Incorrect,-5.0,Male,,38.0,Some college but no degree,Independent,,Moderate,Fake,10.0
739,,Control,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,5.1,4.0,2.1,7.0,Yes,Correct,Do not know,Correct,Do not know,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,0.9,Male,,22.0,Less than high school degree,Other,human,Not sure/not interested in politics,Fake,4.55
741,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,5.8,5.8,2.1,7.5,Yes,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,2.0,Male,,60.0,High school graduate (high school diploma or equivalent including GED),Republican,,Somewhat conservative,Fake,5.8
742,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,7.1,7.7,2.5,8.0,Yes,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,2.7,Female,,31.0,Bachelor's degree in college (4-year),Republican,,Somewhat conservative,Fake,7.4
744,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,6.1,5.9,2.9,8.3,Yes,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,-4.6,Male,,35.0,Bachelor's degree in college (4-year),Independent,,Very conservative,Fake,6.0
746,,Control,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.2,8.9,2.6,8.6,Yes,Correct,Correct,Correct,Do not know,Correct,Correct,Do not know,Correct,Correct,Do not know,Correct,2.6,Male,,35.0,Some college but no degree,Republican,,Moderate,Fake,8.55
747,,Control,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,4.9,4.8,3.0,8.8,Yes,Do not know,Do not know,Incorrect,Incorrect,Incorrect,Do not know,Do not know,Correct,Correct,Correct,Correct,0.3,Female,,36.0,Associate degree in college (2-year),Republican,,Very conservative,Fake,4.85
748,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,3.1,2.9,0.1,9.0,Yes,Correct,Incorrect,Do not know,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,-0.9,Male,,55.0,Associate degree in college (2-year),Independent,,Somewhat conservative,Fake,3.0
749,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.1,9.2,2.4,9.2,Yes,Correct,Correct,Correct,Incorrect,Correct,Do not know,Do not know,Correct,Do not know,Correct,Incorrect,3.2,Male,,24.0,Bachelor's degree in college (4-year),Democrat,,Very conservative,Fake,8.649999999999999
750,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,6.3,5.5,5.0,9.8,Yes,Correct,Correct,Correct,Correct,Correct,Do not know,Correct,Correct,Correct,Do not know,Correct,2.9,Male,,26.0,High school graduate (high school diploma or equivalent including GED),Independent,,Moderate,Fake,5.9
752,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,6.3,7.1,-3.5,1.0,Yes,Do not know,Do not know,Do not know,Do not know,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,-4.2,Male,,52.0,Bachelor's degree in college (4-year),Republican,,Very conservative,Fake,6.699999999999999
753,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,1.4,2.7,-3.9,1.0,Yes,Correct,Correct,Do not know,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Do not know,-1.1,Female,,37.0,Some college but no degree,Independent,,Moderate,Fake,2.05
755,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,3.6,2.7,-4.8,1.2999999999999998,Yes,Do not know,Do not know,Do not know,Do not know,Incorrect,Do not know,Do not know,Correct,Correct,Correct,Do not know,-3.8,Female,,21.0,Some college but no degree,Republican,,Very conservative,Fake,3.1500000000000004
756,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,5.0,6.1,-4.0,1.9000000000000004,Yes,Correct,Correct,Incorrect,Correct,Incorrect,Do not know,Do not know,Correct,Correct,Incorrect,Incorrect,1.1,Male,,45.0,Bachelor's degree in college (4-year),Republican,,Somewhat conservative,Fake,5.55
758,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,5.6,4.7,-2.6,2.5,Yes,Incorrect,Incorrect,Do not know,Do not know,Correct,Do not know,Do not know,Correct,Correct,Incorrect,Correct,-2.5,Male,,43.0,Bachelor's degree in college (4-year),Republican,,Somewhat conservative,Fake,5.15
759,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,3.0,3.3,-3.2,3.2,Yes,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,2.2,Male,,45.0,Bachelor's degree in college (4-year),Democrat,,Somewhat conservative,Fake,3.15
760,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,7.2,5.5,1.2,3.7,Yes,Correct,Do not know,Incorrect,Correct,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,-4.0,Male,,53.0,High school graduate (high school diploma or equivalent including GED),Republican,,Somewhat conservative,Fake,6.35
761,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,3.6,2.5,-4.4,3.7,Yes,Do not know,Do not know,Do not know,Do not know,Correct,Do not know,Do not know,Correct,Correct,Do not know,Do not know,-1.7,Female,,47.0,High school graduate (high school diploma or equivalent including GED),Republican,,Moderate,Fake,3.05
762,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,7.3,6.9,0.0,3.8,Yes,Correct,Incorrect,Incorrect,Correct,Incorrect,Do not know,Do not know,Correct,Incorrect,Incorrect,Incorrect,1.8,Male,,43.0,Some college but no degree,Independent,,Moderate,Fake,7.1
764,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,2.9,1.9,-1.2,4.4,Yes,Do not know,Do not know,Do not know,Do not know,Correct,Do not know,Do not know,Incorrect,Correct,Correct,Correct,2.3,Female,,19.0,High school graduate (high school diploma or equivalent including GED),Democrat,,Somewhat liberal,Fake,2.4
766,,Control,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,6.2,6.0,0.8,4.4,Yes,Correct,Do not know,Do not know,Correct,Incorrect,Correct,Do not know,Correct,Correct,Correct,Do not know,0.0,Female,,32.0,Some college but no degree,Republican,,Somewhat conservative,Fake,6.1
768,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,5.9,5.8,-0.2,4.9,Yes,Do not know,Do not know,Do not know,Do not know,Correct,Do not know,Do not know,Correct,Correct,Do not know,Do not know,3.6,Male,,54.0,High school graduate (high school diploma or equivalent including GED),Independent,,Somewhat conservative,Fake,5.85
769,,Control,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,8.2,8.1,-1.0,5.0,Yes,Correct,Incorrect,Incorrect,Correct,Do not know,Do not know,Do not know,Correct,Correct,Correct,Incorrect,1.0,Female,,63.0,Graduate or professional degree,Independent,,Moderate,Fake,8.149999999999999
770,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,8.2,8.1,0.1,5.1,Yes,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,-4.1,Female,,55.0,Bachelor's degree in college (4-year),Republican,,Somewhat conservative,Fake,8.149999999999999
772,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,6.0,5.0,-0.9,5.1,Yes,Correct,Do not know,Do not know,Correct,Correct,Correct,Incorrect,Correct,Correct,Do not know,Incorrect,-3.0,Male,,64.0,Bachelor's degree in college (4-year),Independent,,Moderate,Fake,5.5
773,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.4,9.4,3.6,5.6,Yes,Correct,Do not know,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Do not know,4.7,Female,,26.0,High school graduate (high school diploma or equivalent including GED),Independent,,Moderate,Fake,9.4
774,,Control,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,9.9,9.9,4.8,6.0,Yes,Correct,Correct,Incorrect,Correct,Incorrect,Do not know,Correct,Correct,Correct,Incorrect,Correct,-3.1,Male,,40.0,High school graduate (high school diploma or equivalent including GED),Republican,,Very conservative,Fake,9.9
775,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,7.8,7.9,3.5,6.0,Yes,Do not know,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.9,Female,,50.0,Some college but no degree,No party/not interested in politics,,Somewhat conservative,Fake,7.85
776,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,4.3,4.0,0.0,6.0,Yes,Correct,Do not know,Correct,Correct,Incorrect,Correct,Do not know,Incorrect,Incorrect,Incorrect,Incorrect,1.0,Male,,52.0,Bachelor's degree in college (4-year),Independent,,Moderate,Fake,4.15
778,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,5.5,4.7,1.0,6.0,Yes,Correct,Correct,Do not know,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,-1.4,Male,,61.0,Bachelor's degree in college (4-year),Republican,,Very conservative,Fake,5.1
779,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,3.1,4.0,-3.0,6.0,Yes,Incorrect,Incorrect,Incorrect,Do not know,Incorrect,Do not know,Do not know,Incorrect,Correct,Do not know,Incorrect,-3.0,Female,,58.0,Bachelor's degree in college (4-year),Independent,,Somewhat conservative,Fake,3.55
784,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,5.5,5.7,0.0,6.0,Yes,Correct,Correct,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Do not know,Do not know,2.4,Male,,27.0,High school graduate (high school diploma or equivalent including GED),Other,,Not sure/not interested in politics,Fake,5.6
785,,Control,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,6.5,6.5,0.0,6.0,Yes,Do not know,Correct,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Correct,0.0,Male,,50.0,High school graduate (high school diploma or equivalent including GED),Other,,Not sure/not interested in politics,Fake,6.5
788,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,5.0,4.0,0.1,6.1,Yes,Correct,Correct,Do not know,Do not know,Correct,Correct,Do not know,Correct,Correct,Do not know,Incorrect,1.2,Male,,59.0,Associate degree in college (2-year),Republican,,Very conservative,Fake,4.5
789,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,10.0,9.9,0.9,6.8,Yes,Correct,Incorrect,Do not know,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Incorrect,-3.9,Male,,47.0,Bachelor's degree in college (4-year),Republican,,Somewhat conservative,Fake,9.95
790,,Control,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,7.1,8.3,2.8,7.3,Yes,Correct,Correct,Do not know,Correct,Correct,Correct,Do not know,Correct,Correct,Correct,Do not know,2.5,Female,,29.0,Graduate or professional degree,Republican,,Moderate,Fake,7.7
792,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,7.4,10.0,5.0,10.8,Yes,Correct,Do not know,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Do not know,Incorrect,Correct,-1.4,Male,,59.0,High school graduate (high school diploma or equivalent including GED),Republican,,Somewhat conservative,Fake,8.7
794,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.4,9.4,4.1,9.6,Yes,Correct,Correct,Correct,Do not know,Correct,Do not know,Correct,Correct,Correct,Correct,Do not know,3.1,Male,,28.0,Graduate or professional degree,Independent,,Moderate,Fake,8.9
797,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,3.1,1.8,-4.5,1.2999999999999998,Yes,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,0.0,Male,,62.0,Bachelor's degree in college (4-year),Independent,,Somewhat conservative,Fake,2.45
798,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,5.8,5.7,-4.1,3.0,Yes,Do not know,Do not know,Do not know,Do not know,Correct,Do not know,Do not know,Correct,Correct,Do not know,Correct,0.1,Female,,35.0,Bachelor's degree in college (4-year),Independent,,Somewhat liberal,Fake,5.75
799,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,5.6,4.0,-3.7,3.0,Yes,Do not know,Correct,Correct,Do not know,Correct,Do not know,Do not know,Correct,Correct,Correct,Correct,-2.6,Male,,40.0,Bachelor's degree in college (4-year),Republican,,Somewhat conservative,Fake,4.8
800,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,3.4,5.8,-2.2,3.0,Yes,Do not know,Correct,Do not know,Do not know,Correct,Do not know,Do not know,Correct,Correct,Incorrect,Correct,-1.4,Male,,30.0,Bachelor's degree in college (4-year),Democrat,,Somewhat liberal,Fake,4.6
805,,Control,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,3.0,5.2,-2.0,5.1,Yes,Correct,Correct,Do not know,Correct,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,3.2,Female,,62.0,Some college but no degree,Republican,,Somewhat conservative,Fake,4.1
807,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,6.5,6.8,2.5,6.0,Yes,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Do not know,Correct,Correct,Correct,Incorrect,2.2,Male,,36.0,Associate degree in college (2-year),Republican,,Somewhat liberal,Fake,6.65
816,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,10.0,10.0,5.0,11.0,Yes,Correct,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,-5.0,Female,,68.0,Bachelor's degree in college (4-year),Republican,,Very conservative,Fake,10.0
821,,Control,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.3,9.4,2.7,9.0,Yes,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,4.0,Male,,41.0,High school graduate (high school diploma or equivalent including GED),Democrat,,Moderate,Fake,9.350000000000001
824,,Control,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,9.1,9.1,5.0,11.0,Yes,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Correct,0.0,Male,,77.0,Associate degree in college (2-year),Republican,,Very conservative,Fake,9.1
828,,Control,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,7.2,7.0,-0.1,7.0,Yes,Correct,Incorrect,Incorrect,Correct,Incorrect,Do not know,Do not know,Correct,Correct,Incorrect,Incorrect,-3.2,Male,,33.0,Bachelor's degree in college (4-year),Republican,,Very conservative,Fake,7.1
829,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,8.1,7.7,3.2,7.3,Yes,Correct,Incorrect,Do not know,Do not know,Incorrect,Do not know,Correct,Do not know,Do not know,Incorrect,Correct,-2.9,Male,,62.0,Bachelor's degree in college (4-year),Independent,,Very conservative,Fake,7.9
830,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,9.8,10.0,4.1,7.5,Yes,Correct,Correct,Do not know,Do not know,Incorrect,Do not know,Do not know,Incorrect,Correct,Do not know,Do not know,-0.7,Male,,39.0,Some college but no degree,Independent,,Very conservative,Fake,9.9
831,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,5.7,5.7,-0.2,7.6,Yes,Correct,Incorrect,Do not know,Correct,Do not know,Do not know,Do not know,Correct,Correct,Do not know,Do not know,1.2,Male,,61.0,High school graduate (high school diploma or equivalent including GED),Independent,,Moderate,Fake,5.7
832,,Control,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,5.3,8.4,0.0,7.8,Yes,Correct,Incorrect,Incorrect,Do not know,Incorrect,Incorrect,Do not know,Incorrect,Incorrect,Incorrect,Incorrect,-1.7,Male,,47.0,Bachelor's degree in college (4-year),Republican,,Somewhat conservative,Fake,6.85
835,,Control,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,1.0,1.0,-5.0,9.6,Yes,Correct,Incorrect,Do not know,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,-0.9,Male,,70.0,Graduate or professional degree,Independent,,Moderate,Fake,1.0
840,,Control,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,1.9,1.9,-4.9,11.0,Yes,Do not know,Do not know,Do not know,Do not know,Correct,Correct,Do not know,Correct,Correct,Incorrect,Do not know,-1.8,Male,,78.0,Bachelor's degree in college (4-year),Independent,,Moderate,Fake,1.9
842,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,1.0,1.0,-5.0,1.0,Yes,Incorrect,Incorrect,Incorrect,Do not know,Correct,Correct,Correct,Correct,Correct,Incorrect,Do not know,-1.7,Male,,29.0,Bachelor's degree in college (4-year),Democrat,,Somewhat liberal,Fake,1.0
843,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,1.5,1.4,-4.9,1.0,Yes,Correct,Incorrect,Do not know,Correct,Correct,Do not know,Do not know,Correct,Correct,Correct,Do not know,-2.9,Female,,68.0,Some college but no degree,Democrat,,Somewhat liberal,Fake,1.45
844,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,1.0,1.0,-5.0,1.0,Yes,Correct,Incorrect,Do not know,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Do not know,0.0,Female,,54.0,Graduate or professional degree,Democrat,,Very liberal,Fake,1.0
845,,Control,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,2.4,2.7,-5.0,1.0,Yes,Correct,Incorrect,Incorrect,Correct,Correct,Do not know,Do not know,Correct,Correct,Incorrect,Incorrect,-2.9,Male,,36.0,Graduate or professional degree,Democrat,,Very liberal,Fake,2.55
846,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,1.0,3.6,5.0,1.0,Yes,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Incorrect,-2.5,Male,,36.0,High school graduate (high school diploma or equivalent including GED),Independent,,Somewhat liberal,Fake,2.3
848,,Control,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,2.9,2.9,-5.0,1.0,Yes,Correct,Do not know,Do not know,Correct,Correct,Correct,Do not know,Correct,Correct,Correct,Do not know,2.0,Female,,69.0,Bachelor's degree in college (4-year),Independent,,Somewhat liberal,Fake,2.9
849,,Control,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,1.0,1.0,-4.3,1.0,Yes,Correct,Do not know,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.8,Male,,28.0,Some college but no degree,Democrat,,Very liberal,Fake,1.0
850,,Control,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,2.0,2.8,-5.0,1.0,Yes,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Incorrect,0.5,Male,,34.0,Graduate or professional degree,Democrat,,Very liberal,Fake,2.4
851,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,1.2,1.2,-3.5,1.0,Yes,Correct,Do not know,Do not know,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Incorrect,-0.7,Female,,46.0,Some college but no degree,Democrat,,Somewhat liberal,Fake,1.2
852,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,1.0,1.0,-5.0,1.0,Yes,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Incorrect,-1.2,Male,,69.0,Graduate or professional degree,Democrat,,Somewhat liberal,Fake,1.0
853,,Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,1.0,1.0,-5.0,1.0,Yes,Do not know,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,-1.8,Female,,26.0,Bachelor's degree in college (4-year),Independent,,Very liberal,Fake,1.0
854,,Enhanced Guidelines,Breitbart,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,1.1,1.1,-5.0,1.0,Yes,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Do not know,Incorrect,0.1,Male,,44.0,Bachelor's degree in college (4-year),Democrat,,Somewhat liberal,Fake,1.1
